original_dir,old_name,new_name,file_size_bytes,year,name_year,date,site,Location for cluster,Latittude for cluster,Longitude for cluster,latitude,longitude,altitude,start time,# parrots,behavior,province,species,sorted
CPV2017ContactCalls,1105.00.36.10.wav,1105.00.36.10.wav,,2017,1105.00.36.10-2017.wav,5/6/17,Alice Pecan Orchard,Alice Pecan Orchard,-32.795,26.85027778,S 32.796151,E 026.850575,1650 feet,7:49 AM,60,Flying,Eastern Cape,Cape Parrot,unsorted
CPV2017ContactCalls,1105.00.38.60.wav,1105.00.38.60.wav,,2017,1105.00.38.60-2017.wav,5/6/17,Alice Pecan Orchard,Alice Pecan Orchard,-32.795,26.85027778,S 32.796151,E 026.850575,1650 feet,7:49 AM,60,Flying,Eastern Cape,Cape Parrot,unsorted
CPV2017ContactCalls,1105.00.40.10.wav,1105.00.40.10.wav,,2017,1105.00.40.10-2017.wav,5/6/17,Alice Pecan Orchard,Alice Pecan Orchard,-32.795,26.85027778,S 32.796151,E 026.850575,1650 feet,7:49 AM,60,Flying,Eastern Cape,Cape Parrot,unsorted
CPV2017ContactCalls,1105.00.42.05.wav,1105.00.42.05.wav,,2017,1105.00.42.05-2017.wav,5/6/17,Alice Pecan Orchard,Alice Pecan Orchard,-32.795,26.85027778,S 32.796151,E 026.850575,1650 feet,7:49 AM,60,Flying,Eastern Cape,Cape Parrot,unsorted
CPV2017ContactCalls,1105.01.07.40.wav,1105.01.07.40.wav,,2017,1105.01.07.40-2017.wav,5/6/17,Alice Pecan Orchard,Alice Pecan Orchard,-32.795,26.85027778,S 32.796151,E 026.850575,1650 feet,7:49 AM,60,Flying,Eastern Cape,Cape Parrot,unsorted
CPV2017ContactCalls,1105.01.09.00.wav,1105.01.09.00.wav,,2017,1105.01.09.00-2017.wav,5/6/17,Alice Pecan Orchard,Alice Pecan Orchard,-32.795,26.85027778,S 32.796151,E 026.850575,1650 feet,7:49 AM,60,Flying,Eastern Cape,Cape Parrot,unsorted
CPV2017ContactCalls,1105.01.10.80.wav,1105.01.10.80.wav,,2017,1105.01.10.80-2017.wav,5/6/17,Alice Pecan Orchard,Alice Pecan Orchard,-32.795,26.85027778,S 32.796151,E 026.850575,1650 feet,7:49 AM,60,Flying,Eastern Cape,Cape Parrot,unsorted
CPV2017ContactCalls,1105.01.13.00.wav,1105.01.13.00.wav,,2017,1105.01.13.00-2017.wav,5/6/17,Alice Pecan Orchard,Alice Pecan Orchard,-32.795,26.85027778,S 32.796151,E 026.850575,1650 feet,7:49 AM,60,Flying,Eastern Cape,Cape Parrot,unsorted
CPV2017ContactCalls,1105.01.15.80.wav,1105.01.15.80.wav,,2017,1105.01.15.80-2017.wav,5/6/17,Alice Pecan Orchard,Alice Pecan Orchard,-32.795,26.85027778,S 32.796151,E 026.850575,1650 feet,7:49 AM,60,Flying,Eastern Cape,Cape Parrot,unsorted
CPV2017ContactCalls,1105.01.21.65.wav,1105.01.21.65.wav,,2017,1105.01.21.65-2017.wav,5/6/17,Alice Pecan Orchard,Alice Pecan Orchard,-32.795,26.85027778,S 32.796151,E 026.850575,1650 feet,7:49 AM,60,Flying,Eastern Cape,Cape Parrot,unsorted
CPV2017ContactCalls,1105.01.26.60.wav,1105.01.26.60.wav,,2017,1105.01.26.60-2017.wav,5/6/17,Alice Pecan Orchard,Alice Pecan Orchard,-32.795,26.85027778,S 32.796151,E 026.850575,1650 feet,7:49 AM,60,Flying,Eastern Cape,Cape Parrot,unsorted
CPV2017ContactCalls,1105.03.44.60.wav,1105.03.44.60.wav,,2017,1105.03.44.60-2017.wav,5/6/17,Alice Pecan Orchard,Alice Pecan Orchard,-32.795,26.85027778,S 32.796151,E 026.850575,1650 feet,7:49 AM,60,Flying,Eastern Cape,Cape Parrot,unsorted
CPV2017ContactCalls,1105.03.54.70.wav,1105.03.54.70.wav,,2017,1105.03.54.70-2017.wav,5/6/17,Alice Pecan Orchard,Alice Pecan Orchard,-32.795,26.85027778,S 32.796151,E 026.850575,1650 feet,7:49 AM,60,Flying,Eastern Cape,Cape Parrot,unsorted
CPV2017ContactCalls,1105.05.27.60.wav,1105.05.27.60.wav,,2017,1105.05.27.60-2017.wav,5/6/17,Alice Pecan Orchard,Alice Pecan Orchard,-32.795,26.85027778,S 32.796151,E 026.850575,1650 feet,7:49 AM,60,Flying,Eastern Cape,Cape Parrot,unsorted
CPV2017ContactCalls,1105.05.30.60.wav,1105.05.30.60.wav,,2017,1105.05.30.60-2017.wav,5/6/17,Alice Pecan Orchard,Alice Pecan Orchard,-32.795,26.85027778,S 32.796151,E 026.850575,1650 feet,7:49 AM,60,Flying,Eastern Cape,Cape Parrot,unsorted
CPV2017ContactCalls,1105.05.32.10.wav,1105.05.32.10.wav,,2017,1105.05.32.10-2017.wav,5/6/17,Alice Pecan Orchard,Alice Pecan Orchard,-32.795,26.85027778,S 32.796151,E 026.850575,1650 feet,7:49 AM,60,Flying,Eastern Cape,Cape Parrot,unsorted
CPV2017ContactCalls,1105.05.38.35.wav,1105.05.38.35.wav,,2017,1105.05.38.35-2017.wav,5/6/17,Alice Pecan Orchard,Alice Pecan Orchard,-32.795,26.85027778,S 32.796151,E 026.850575,1650 feet,7:49 AM,60,Flying,Eastern Cape,Cape Parrot,unsorted
CPV2017ContactCalls,1105.05.42.40.wav,1105.05.42.40.wav,,2017,1105.05.42.40-2017.wav,5/6/17,Alice Pecan Orchard,Alice Pecan Orchard,-32.795,26.85027778,S 32.796151,E 026.850575,1650 feet,7:49 AM,60,Flying,Eastern Cape,Cape Parrot,unsorted
CPV2017ContactCalls,1105.07.08.10.wav,1105.07.08.10.wav,,2017,1105.07.08.10-2017.wav,5/6/17,Alice Pecan Orchard,Alice Pecan Orchard,-32.795,26.85027778,S 32.796151,E 026.850575,1650 feet,7:49 AM,60,Flying,Eastern Cape,Cape Parrot,unsorted
CPV2017ContactCalls,1105.07.08.35.wav,1105.07.08.35.wav,,2017,1105.07.08.35-2017.wav,5/6/17,Alice Pecan Orchard,Alice Pecan Orchard,-32.795,26.85027778,S 32.796151,E 026.850575,1650 feet,7:49 AM,60,Flying,Eastern Cape,Cape Parrot,unsorted
CPV2017ContactCalls,1105.21.52.25.wav,1105.21.52.25.wav,,2017,1105.21.52.25-2017.wav,5/6/17,Alice Pecan Orchard,Alice Pecan Orchard,-32.795,26.85027778,S 32.796151,E 026.850575,1650 feet,7:49 AM,60,Flying,Eastern Cape,Cape Parrot,unsorted
CPV2017ContactCalls,1105.22.17.45.wav,1105.22.17.45.wav,,2017,1105.22.17.45-2017.wav,5/6/17,Alice Pecan Orchard,Alice Pecan Orchard,-32.795,26.85027778,S 32.796151,E 026.850575,1650 feet,7:49 AM,60,Flying,Eastern Cape,Cape Parrot,unsorted
CPV2017ContactCalls,1105.23.00.20.wav,1105.23.00.20.wav,,2017,1105.23.00.20-2017.wav,5/6/17,Alice Pecan Orchard,Alice Pecan Orchard,-32.795,26.85027778,S 32.796151,E 026.850575,1650 feet,7:49 AM,60,Flying,Eastern Cape,Cape Parrot,unsorted
CPV2017ContactCalls,1105.23.01.55.wav,1105.23.01.55.wav,,2017,1105.23.01.55-2017.wav,5/6/17,Alice Pecan Orchard,Alice Pecan Orchard,-32.795,26.85027778,S 32.796151,E 026.850575,1650 feet,7:49 AM,60,Flying,Eastern Cape,Cape Parrot,unsorted
CPV2017ContactCalls,1105.23.02.45.wav,1105.23.02.45.wav,,2017,1105.23.02.45-2017.wav,5/6/17,Alice Pecan Orchard,Alice Pecan Orchard,-32.795,26.85027778,S 32.796151,E 026.850575,1650 feet,7:49 AM,60,Flying,Eastern Cape,Cape Parrot,unsorted
CPV2017ContactCalls,1105.23.04.15.wav,1105.23.04.15.wav,,2017,1105.23.04.15-2017.wav,5/6/17,Alice Pecan Orchard,Alice Pecan Orchard,-32.795,26.85027778,S 32.796151,E 026.850575,1650 feet,7:49 AM,60,Flying,Eastern Cape,Cape Parrot,unsorted
CPV2017ContactCalls,1105.23.07.35.wav,1105.23.07.35.wav,,2017,1105.23.07.35-2017.wav,5/6/17,Alice Pecan Orchard,Alice Pecan Orchard,-32.795,26.85027778,S 32.796151,E 026.850575,1650 feet,7:49 AM,60,Flying,Eastern Cape,Cape Parrot,unsorted
